cliff,geology,height,waterarea,aspectcat,slope
1a,Qfp,-0.40144729,-0.5192,NW,-0.766223271
2a,Qfp,-0.7973749,-0.0122,W,-0.754091111
3a,Qfp,-0.46922224,-0.0413,SW,0.323039768
4a,Qrc,-1,-0.3058,NW,-1
5a,Qfp,-0.45230293,-0.134,NW,0.12324475
6a,Qfp,1,-0.673,S,1
7a,Qfp,-0.86374145,-0.1853,S,0.404903843
8a,Qrc,-0.68672935,-0.6696,SW,0.178739635
9a,Qfp,-0.80685496,0.113,S,0.455933299
10a,Qrc,-0.28936899,-0.4898,SE,-0.082792222
11a,Qfp,-0.42835504,-0.2722,NW,0.103288747
12a,Qfp,-0.27878123,-0.7808,N,-0.064567317
13a,Qfp,-0.5286806,-0.739,W,0.367179212
14a,Qfp,-0.67578865,-0.6256,NW,0.494817837
15a,Qfp,-0.54355811,-0.8787,S,-0.169730054
16a,Qfp,-0.67233659,-0.9024,S,-0.151899366
17a,Qfp,-0.76952408,-0.5235,N,-0.153787334
18a,Qfp,-0.71867012,-0.7886,NW,-0.475875101
19a,Qfp,-0.4986613,-0.9185,W,0.423675687
20a,Qfp,-0.68261194,-0.8095,NW,-0.439733622
21a,Qfp,-0.93154279,-0.7853,S,-0.203309886
22a,Qfp,-0.86079226,-0.8097,SE,-0.880209385
23a,Qfp,-0.68203017,-0.7534,N,0.682658499
24a,Qfp,-0.08381266,-0.7871,W,-0.403235704
25a,Qfp,-0.72540623,-0.9707,W,-0.761206903
26a,Qfp,-0.6513305,-0.9687,NW,-0.352693155
27a,Qrc,-0.7141792,-0.8554,S,-0.323428868
28a,Qfp,-0.29882997,-1,E,0.554248513
29a,Qfp,-0.44934579,-0.9996,N,0.390270076
30a,Qfp,-0.39048089,-0.614,NW,0.088835099
31a,Qfp,-0.14461714,-0.7702,NW,0.31072746
32a,Qfp,-0.52588953,-0.8243,W,0.202556572
33a,Qfp,0.07270661,-0.6894,NW,0.335122038
34a,Qfp,-0.90523084,-0.7662,S,0.195189754
35a,Qfp,-0.81403267,-0.5261,S,0.348319625
36a,Qfp,0.03673257,-0.4998,S,0.560602226
37a,Qfp,-0.03464479,-0.4875,NW,0.193876077
38a,Qfp,-0.34956506,-0.4759,NW,0.314017135
39a,Qfp,-0.46858727,-0.7101,N,0.859996404
40a,Qrb,0.02847207,-0.6364,S,0.952608385
41a,Qrb,0.00282689,-0.6146,S,0.665618625
42a,Qrb,0.65106097,-0.7187,S,0.57505792
43a,Qrb,0.58164091,-0.4907,S,0.495950002
44a,Qrb,0.17507027,-0.6456,SE,0.243671543
45a,Qfp,0.66291012,-0.3505,SE,0.28534598
46a,Qfp,-0.16940106,-0.2385,SE,0.248135649
47a,Qfp,0.52287488,-0.4188,SE,0.016046306
48a,Qfp,-0.62621989,-0.4433,NE,-0.091306547
49a,Qfp,0.08971065,-0.4853,E,-0.056306372
50a,Qfp,-0.49317929,-0.3006,SE,-0.054975174
51a,Qfp,0.09727275,-0.4001,NE,0.479709611
52a,Qfp,0.03478031,-0.6614,NE,0.69586294
53a,Qfp,-0.04415761,-0.4449,E,0.069583414
54a,Qfp,-0.22867652,-0.373,SE,0.036343762
55a,Qfp,0.0505014,-0.4338,E,-0.148564021
56a,Qfp,0.00186611,-0.5483,E,-0.368432182
57a,Qfp,-0.19600821,-0.4944,E,-0.161456854
58a,Qfp,-0.32815409,-0.3874,E,-0.070770446
59a,Qfp,-0.5930615,-0.2713,E,-0.456799422
60a,Qfp,-0.42536695,-0.3594,E,-0.406850471
61a,Qfp,-0.71637688,-0.4789,E,-0.513104626
62a,Qfp,-0.75151664,-0.2862,NE,-0.168236659
63a,Qfp,-0.71251742,0.1358,E,-0.31453991
64a,Qfp,-0.77079623,0.5003,E,-0.59824403
65a,Qfp,-0.7251081,0.4813,NE,-0.155470827
66a,Qfp,-0.73672768,0.471,N,0.191626597
67a,Qfp,-0.73006052,0.7264,SE,0.008823286
68a,Qfp,-0.64208335,0.6805,SE,-0.102723935
69a,Qfp,-0.90724409,0.4417,SE,0.622592984
70a,Qfp,-0.81424179,0.2852,E,-0.443095426
71a,Qfp,-0.95209962,0.4251,SE,-0.783998679
72a,Qfp,-0.69856071,0.8699,SE,0.391549475
73a,Qfp,-0.68774314,1,S,0.331741926
74a,Qfp,-0.67181704,0.7788,S,-0.105572303
